"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
157,10,1.98943678864869,20.96596,3.757381,6,22.428152,22.169034,21.993979,20.502449,20.908568,22.310653,NA,NA,NA,NA,NA,4.670235,4.859385,4.810888,3.461924,3.079597,3.797287,NA,NA,NA,NA,NA
158,10,1.98943678864869,14.640804,0.581716,5,16.3104,14.11686,13.234078,13.504279,16.6325,NA,NA,NA,NA,NA,NA,1.040445,1.63,1.176662,0,0,NA,NA,NA,NA,NA,NA
159,10,1.98943678864869,15.7636,2.714276,5,16.405538,15.332169,15.484206,16.3306,16.680501,NA,NA,NA,NA,NA,NA,3.414449,3.140943,2.411526,1.126529,1.815469,NA,NA,NA,NA,NA,NA
160,10,1.98943678864869,18.930162,13.603284,6,19.582906,18.775236,17.848876,18.138453,19.243629,20.020906,NA,NA,NA,NA,NA,14.117254,14.487107,13.590261,13.120454,12.720256,13.556676,NA,NA,NA,NA,NA
161,10,1.98943678864869,20.945091,18.696459,6,20.850156,20.824281,20.484742,20.635488,20.673032,21.213168,NA,NA,NA,NA,NA,19.08284,19.024622,18.08317,17.554938,17.565352,18.236316,NA,NA,NA,NA,NA
162,10,1.98943678864869,24.785215,11.009882,5,26.977631,24.399631,24.326934,24.917615,26.972393,NA,NA,NA,NA,NA,NA,10.883786,11.30967,11.267754,10.063116,10.874658,NA,NA,NA,NA,NA,NA
163,10,1.98943678864869,21.994303,12.035325,7,22.247403,22.029953,21.333024,20.954555,21.917275,22.022689,22.341176,NA,NA,NA,NA,13.350158,13.434826,13.362415,11.762534,10.827671,10.916941,11.582459,NA,NA,NA,NA
164,10,1.98943678864869,19.581105,3.93989,6,20.231165,19.272151,18.415222,18.432513,19.330474,20.202593,NA,NA,NA,NA,NA,4.439089,5.200937,3.448578,3.406966,3.066166,3.661597,NA,NA,NA,NA,NA
165,10,1.98943678864869,23.121121,10.704732,6,23.663789,22.022689,21.917275,21.911616,22.86733,23.744237,NA,NA,NA,NA,NA,11.302829,10.916941,10.827671,9.528541,9.252793,9.180705,NA,NA,NA,NA,NA
166,10,1.98943678864869,14.868424,3.591115,8,14.950273,14.651249,14.532499,13.91312,13.461401,13.374043,14.356832,15.290377,NA,NA,NA,4.813827,5.301941,5.381339,5.223103,4.682287,4.3158,2.935704,3.155536,NA,NA,NA
