"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
173,1,0.795774715459477,6.316928,17.090521,6,6.701867,6.271549,5.674506,5.518639,5.555751,6.541071,NA,NA,NA,NA,NA,17.463194,17.661902,17.55549,16.673506,16.334654,16.435829,NA,NA,NA,NA,NA
174,1,0.795774715459477,6.204101,7.039711,5,6.72649,6.589727,5.506553,5.817294,6.287202,NA,NA,NA,NA,NA,NA,7.331267,7.607925,6.975049,6.253884,6.362245,NA,NA,NA,NA,NA,NA
175,1,0.795774715459477,8.02424,7.579561,6,8.141174,7.912837,7.641578,7.657733,7.956403,8.577602,NA,NA,NA,NA,NA,8.244584,8.282248,8.172719,6.996464,6.917766,7.433761,NA,NA,NA,NA,NA
176,1,0.795774715459477,9.84764,18.004595,6,10.392773,10.315098,9.057237,9.023771,9.574466,10.543766,NA,NA,NA,NA,NA,18.651639,18.73417,18.199559,18.078501,17.642399,17.735572,NA,NA,NA,NA,NA
177,1,0.795774715459477,9.587011,13.359471,6,10.366154,9.955589,9.374048,9.049888,9.756797,10.023284,NA,NA,NA,NA,NA,13.550022,13.934644,13.73963,13.031677,12.815098,12.934218,NA,NA,NA,NA,NA
178,1,0.795774715459477,6.839244,14.82132,7,7.19833,6.934856,6.414446,6.269383,6.751461,7.322947,7.367892,NA,NA,NA,NA,15.349026,15.40461,15.18892,14.888374,14.077407,14.263471,14.473731,NA,NA,NA,NA
179,1,0.795774715459477,8.679262,11.864374,6,9.347321,8.82257,8.122431,8.118581,8.864051,9.056846,NA,NA,NA,NA,NA,11.787797,12.34524,12.064814,12.059713,11.173336,11.257186,NA,NA,NA,NA,NA
180,1,0.795774715459477,9.911632,17.33887,5,10.674506,10.543766,9.574466,9.604261,10.518639,NA,NA,NA,NA,NA,NA,17.55549,17.735572,17.642399,17.230633,16.673506,NA,NA,NA,NA,NA,NA
181,1,0.795774715459477,6.509166,5.716801,7,7.15171,7.051366,6.287202,5.817294,5.641334,5.731015,6.428702,NA,NA,NA,NA,5.907983,6.10813,6.362245,6.253884,5.915812,5.118579,5.106947,NA,NA,NA,NA
182,1,0.795774715459477,7.991143,3.197952,6,8.770747,7.852121,7.631643,7.291821,7.864516,8.60885,NA,NA,NA,NA,NA,3.364889,3.825388,3.783409,2.977416,2.527717,2.935539,NA,NA,NA,NA,NA
183,1,0.795774715459477,6.735924,17.997894,6,7.382275,7.097834,6.575922,6.271549,6.701867,7.287577,NA,NA,NA,NA,NA,18.048987,18.662837,18.534905,17.661902,17.463194,17.590323,NA,NA,NA,NA,NA
184,1,0.795774715459477,6.59365,10.329873,5,6.657946,6.124899,5.929802,6.449052,6.982596,NA,NA,NA,NA,NA,NA,11.100322,10.796817,10.25275,9.826328,10.005903,NA,NA,NA,NA,NA,NA
185,1,0.795774715459477,9.284509,17.293493,6,9.574466,9.023771,8.719178,8.573632,9.131594,9.604261,NA,NA,NA,NA,NA,17.642399,18.078501,17.810941,17.383568,16.783878,17.230633,NA,NA,NA,NA,NA
186,1,0.795774715459477,6.051024,3.263358,4,6.390609,5.827364,6.42412,6.741999,NA,NA,NA,NA,NA,NA,NA,3.733296,3.408181,2.493116,2.865597,NA,NA,NA,NA,NA,NA,NA
187,1,0.795774715459477,9.065118,15.683241,7,10.065758,9.2306,8.639996,8.555847,9.355083,9.670356,9.983704,NA,NA,NA,NA,15.95764,16.355844,16.084277,15.835414,14.95455,15.006607,15.579915,NA,NA,NA,NA
188,1,0.795774715459477,5.566676,14.862545,5,4.983704,4.670356,4.84983,5.77429,6.054583,NA,NA,NA,NA,NA,NA,15.579915,15.006607,14.68155,14.573361,14.843987,NA,NA,NA,NA,NA,NA
189,1,0.795774715459477,6.469442,19.085035,6,7.023472,6.42867,6.193046,6.575922,7.097834,7.273932,NA,NA,NA,NA,NA,20,20,18.689905,18.534905,18.662837,19.08161,NA,NA,NA,NA,NA
190,1,0.795774715459477,5.962574,11.438234,7,6.432916,5.588076,5.318554,5.370613,6.124899,6.657946,6.772481,NA,NA,NA,NA,11.824762,11.966496,11.689048,11.328547,10.796817,11.100322,11.241506,NA,NA,NA,NA
